,County,Year,Violent_Crimes,County_Year
0,Fresno County,2014,4547,Fresno County_2014
1,Fresno County,2015,5228,Fresno County_2015
2,Fresno County,2016,5981,Fresno County_2016
3,Fresno County,2017,5745,Fresno County_2017
4,Fresno County,2018,5889,Fresno County_2018
5,Los Angeles County,2014,42725,Los Angeles County_2014
6,Los Angeles County,2015,50466,Los Angeles County_2015
7,Los Angeles County,2016,56351,Los Angeles County_2016
8,Los Angeles County,2017,59924,Los Angeles County_2017
9,Los Angeles County,2018,58567,Los Angeles County_2018
10,San Francisco County,2014,6822,San Francisco County_2014
11,San Francisco County,2015,6789,San Francisco County_2015
12,San Francisco County,2016,6269,San Francisco County_2016
13,San Francisco County,2017,6410,San Francisco County_2017
14,San Francisco County,2018,6290,San Francisco County_2018
15,Shasta County,2014,1275,Shasta County_2014
16,Shasta County,2015,1400,Shasta County_2015
17,Shasta County,2016,1333,Shasta County_2016
18,Shasta County,2017,1225,Shasta County_2017
19,Shasta County,2018,1163,Shasta County_2018
