RegionName,State,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,Average 2018 Rentals
Los Angeles County,CA,3000,3000,3000,3100,3150,3195,3195,3200,3133.5,3141,3195,3150,3121.625
San Diego County,CA,2700,2700,2750,2800,2800,2800,2850,2850,2800,2765,2750,2800,2780.4166666666665
Orange County,CA,3150,3195,3195,3200,3200,3200,3195,3150,3195,3200,3195,3200,3189.5833333333335
Riverside County,CA,1995,2003.5,2050,2100,2100,2095,2095,2099,2100,2150,2175,2150,2092.7083333333335
San Bernardino County,CA,1835,1900,1950,1995,1950,2000,2000,2000,1995,1950,2095,2086,1979.6666666666667
Santa Clara County,CA,3545,3550,3600,3695,3800,3800,3800,3782.5,3650,3650,3650,3650,3681.0416666666665
Alameda County,CA,3100,3100,3200,3200,3250,3283,3298,3242.5,3200,3200,3200,3200,3206.125
Sacramento County,CA,1695,1695,1700,1750,1795,1795,1800,1800,1795,1795,1795,1750,1763.75
Contra Costa County,CA,2600,2606,2680,2750,2825,2895,2950,2850,2800,2850,2895,2895,2799.6666666666665
Fresno County,CA,1375,1400,1395,1400,1425,1400,1450,1450,1425,1452.5,1425,1495,1424.375
Kern County,CA,1275,1250,1250,1295,1300,1300,1300,1300,1300,1300,1295,1250,1284.5833333333333
Ventura County,CA,2750,2750,2792.5,2800,2850,2850,2845,2850,2844.5,2824,2850,2900,2825.5
San Francisco County,CA,5495,5392.5,5500,5500,5499.5,5500,5500,5500,5700,5499,5400,5497,5498.583333333333
San Mateo County,CA,4200,4200,4200,4350,4500,4500,4500,4600,4500,4500,4500,4500,4420.833333333333
San Joaquin County,CA,1650,1695,1750,1750,1695,1750,1795,1775,1795,1750,1797.5,1785,1748.9583333333333
Stanislaus County,CA,1495,1495,1475,1450,1500,1500,1565,1585,1595,1585,1550,1550,1528.75
Sonoma County,CA,2945,2896.5,2975,3000,2995,2900,2900,2945,2900,2885,2800,2800,2911.7916666666665
Tulare County,CA,1200,1200,1200,1200,1248,1250,1250,1250,1250,1295,1250,1250,1236.9166666666667
Santa Barbara County,CA,3550,3500,3712.5,4000,4000,3750,3500,3695,3400,3450,3650,3900,3675.625
Monterey County,CA,2950,3000,3025,2800,2872.5,2897.5,2900,2850,2800,2850,2800,2800,2878.75
Solano County,CA,2060,2095,2060,2175,2100,2100,2157.5,2200,2195,2125,2150,2200,2134.7916666666665
Placer County,CA,1995,2000,2000,2000,2100,2150,2098,2095,2050,2000,2150,2130,2064.0
San Luis Obispo County,CA,2300,2400,2500,2650,2585,2612.5,2600,2595,2560,2550,2595,2525,2539.375
Santa Cruz County,CA,3400,3200,3400,3500,3500,3500,3425,3500,3500,3425,3400,3400,3429.1666666666665
Merced County,CA,1300,1300,1372.5,1400,1400,1450,1487.5,1400,1400,1400,1362.5,1395,1388.9583333333333
Marin County,CA,4297.5,4395,4400,4500,4800.5,4750,4725,4500,4600,4500,4500,4500,4539.0
Yolo County,CA,2172.5,2200,2200,2295,2300,2295,2350,2300,2250,2050,2100,2200,2226.0416666666665
El Dorado County,CA,2025,2100,2100,2050,2187.5,2150,2197.5,2250,2162.5,2197.5,2200,2187.5,2150.625
Shasta County,CA,1450,1400,1395,1395,1395,1350,1400,1425,1350,1350,1395,1380,1390.4166666666667
Kings County,CA,1300,1300,1300,1343.5,1295,1300,1350,1295,1253,1295,1250,1287.5,1297.4166666666667
Napa County,CA,3200,3500,3200,3200,3150,3450,3647.5,3397.5,3300,3250,3130.5,3200,3302.125
Nevada County,CA,1900,1925,1850,2000,2000,2250,2095,2095,2100,2100,2200,2300,2067.9166666666665
